iter	RMSE
0	595786.8872
1	573118.8967
2	550248.3663
3	528456.4897
4	510205.7994
5	495541.8185
6	481753.739
7	468802.1877
8	457341.0211
9	446954.3432
10	438407.7818
11	429306.8004
12	421427.344
13	414448.1953
14	407726.4759
15	401691.5125
16	397789.7021
17	392784.1415
18	388568.6631
19	384467.9207
20	380890.3192
21	377239.1337
22	373202.9305
23	370611.0053
24	367322.5193
25	364566.9427
26	360925.4952
27	357626.2726
28	355592.9823
29	352599.075
30	350366.9093
31	348485.3347
32	346590.7898
33	344259.7056
34	341713.0588
35	339959.7107
36	337856.8621
37	333951.2919
38	332473.669
39	330479.131
40	329608.4798
41	328368.6685
42	326375.3715
43	324611.3205
44	322829.2363
45	321384.069
46	319722.3792
47	317141.0924
48	315898.4498
49	314425.2813
50	312776.1082
51	311410.6963
52	309937.8392
53	308610.611
54	307891.4619
55	306673.7273
56	305441.0477
57	303553.5092
58	302780.4693
59	301391.2627
60	299684.7091
61	298605.7937
62	297218.7424
63	296141.6205
64	294705.5091
65	293690.4952
66	292121.0793
67	290260.4442
68	289145.5213
69	287965.4991
70	286725.912
71	286001.4882
72	285267.1393
73	283772.6948
74	282426.9004
75	281829.6966
76	281156.436
77	280169.2328
78	279057.8229
79	277683.2142
80	276996.6765
81	276072.136
82	275545.6637
83	275170.2142
84	273900.7849
85	273347.1716
86	271695.5962
87	269629.9686
88	268621.6088
89	266910.4172
90	266154.4669
91	264971.8238
92	263897.0039
93	262841.0509
94	262009.2966
95	261357.3781
96	260509.4433
97	259126.0446
98	258317.0164
99	257386.4929
100	256348.6683
101	255576.9117
102	254957.3807
103	254208.6589
104	253016.6351
105	252218.419
106	251223.7784
107	250144.0183
108	249371.0215
109	248524.746
110	247397.7199
111	246833.2154
112	245854.6097
113	244703.8593
114	243823.721
115	242744.03
116	241660.3082
117	240847.9285
118	240128.2268
119	239356.3368
120	238177.8215
121	237290.6216
122	236403.4363
123	235685.1327
124	234837.4454
125	233958.6522
126	233220.6319
127	232172.4096
128	231473.7363
129	230882.1765
130	229849.2835
131	229023.2765
132	228585.0691
133	227179.6076
134	226579.6748
135	225745.779
136	224935.8018
137	224258.2185
138	223583.1677
139	222886.3869
140	222109.3145
141	221310.4709
142	220407.2754
143	219630.2331
144	218868.8185
145	218165.1348
146	217532.9583
147	216916.5749
148	216290.6275
149	215090.0152
150	214362.9318
151	213935.7932
152	213015.6765
153	212147.0592
154	211418.8729
155	210753.3874
156	210313.9082
157	209318.3756
158	208952.078
159	208270.8649
160	207369.726
161	206850.5808
162	206063.3132
163	205630.2601
164	205142.7836
165	204251.9569
166	203828.3475
167	203140.8898
168	202557.4064
169	201929.9952
170	201368.9939
171	200700.0851
172	200014.2591
173	199624.2322
174	199194.8222
175	198621.8141
176	197743.2012
177	197406.8881
178	197014.8711
179	196525.9055
180	195951.9634
181	195044.1792
182	194417.7861
183	193942.5263
184	193395.0737
185	192839.9924
186	192419.5964
187	192087.2284
188	191322.8809
189	190961.8538
190	190156.1213
191	189685.773
192	189140.7364
193	188023.091
194	187610.0856
195	187152.1792
196	186598.6172
197	186053.2239
198	185760.6345
199	185439.3157
200	184877.6672
201	184378.2619
202	183888.8061
203	183408.4035
204	183053.7191
205	182655.0946
206	182266.9042
207	181612.6688
208	181111.3718
209	180682.1327
210	180282.0442
211	179667.0135
212	179195.0591
213	178740.7394
214	178294.793
215	178011.8693
216	177519.371
217	177078.53
218	176700.4853
219	176104.6934
220	175592.6772
221	175219.4221
222	174887.4887
223	174314.4943
224	173848.3505
225	173304.7139
226	172925.0912
227	172549.4171
228	172210.8397
229	171915.9056
230	171532.0969
231	171352.0407
232	170850.1072
233	170540.7461
234	170160.9195
235	169710.5629
236	169264.1535
237	168904.7505
238	168586.096
239	168130.0474
240	167681.1412
241	167282.1725
242	166812.1122
243	166187.3936
244	165584.6473
245	165168.8598
246	164819.6436
247	164344.3249
248	164111.5711
249	163698.3123
250	163324.1515
251	162981.7633
252	162577.7596
253	162407.9204
254	162113.025
255	161776.4536
256	161474.881
257	161130.7696
258	160585.7076
259	160295.6928
260	159846.031
261	159397.1575
262	159035.3377
263	158722.9331
264	158230.8458
265	157851.8687
266	157528.6528
267	156889.1108
268	156597.4921
269	156215.4312
270	155867.4224
271	155690.2853
272	155323.8726
273	154930.1393
274	154411.3005
275	154047.8999
276	153655.2828
277	153166.6372
278	152956.7742
279	152572.4934
280	152172.9147
281	152010.6869
282	151696.7916
283	151416.6694
284	151050.1611
285	150661.6905
286	150396.7973
287	150179.9208
288	149813.6743
289	149601.2416
290	149424.6684
291	149162.9572
292	148932.0765
293	148435.1319
294	148279.6355
295	148042.6229
296	147620.5903
297	147339.9386
298	147129.2531
299	146853.3411
