iter	Passed	Remaining
0	8	2425
1	16	2408
2	24	2469
3	33	2469
4	42	2485
5	50	2480
6	59	2489
7	68	2503
8	77	2514
9	87	2523
10	95	2520
11	105	2520
12	114	2527
13	123	2522
14	132	2520
15	142	2528
16	151	2524
17	161	2526
18	170	2525
19	180	2525
20	191	2541
21	201	2546
22	211	2549
23	222	2554
24	232	2554
25	242	2556
26	253	2558
27	263	2563
28	274	2561
29	284	2561
30	295	2563
31	305	2561
32	315	2556
33	326	2553
34	336	2549
35	347	2544
36	357	2542
37	368	2538
38	378	2535
39	389	2530
40	399	2524
41	409	2517
42	420	2511
43	430	2506
44	441	2503
45	453	2502
46	465	2505
47	477	2504
48	488	2501
49	499	2496
50	510	2492
51	522	2490
52	533	2485
53	546	2488
54	559	2491
55	572	2494
56	585	2495
57	598	2498
58	611	2497
59	624	2496
60	637	2497
61	650	2495
62	663	2494
63	676	2494
64	689	2491
65	702	2489
66	716	2490
67	729	2488
68	742	2484
69	754	2480
70	767	2475
71	780	2470
72	793	2468
73	808	2470
74	823	2469
75	836	2464
76	850	2464
77	866	2466
78	881	2465
79	895	2461
80	909	2458
81	922	2453
82	937	2450
83	949	2442
84	962	2434
85	975	2427
86	988	2420
87	1001	2412
88	1014	2404
89	1026	2395
90	1039	2387
91	1052	2379
92	1065	2370
93	1079	2365
94	1093	2358
95	1108	2356
96	1214	2541
97	1246	2568
98	1262	2563
99	1275	2551
100	1289	2540
101	1302	2528
102	1315	2516
103	1328	2503
104	1341	2491
105	1354	2479
106	1368	2467
107	1382	2457
108	1394	2444
109	1407	2431
110	1420	2417
111	1433	2405
112	1445	2392
113	1458	2379
114	1472	2368
115	1486	2357
116	1499	2344
117	1511	2331
118	1524	2318
119	1537	2305
120	1549	2292
121	1562	2280
122	1575	2267
123	1588	2254
124	1600	2241
125	1613	2228
126	1626	2215
127	1639	2202
128	1652	2189
129	1664	2176
130	1677	2164
131	1690	2151
132	1702	2138
133	1715	2125
134	1728	2112
135	1740	2098
136	1753	2086
137	1767	2074
138	1779	2061
139	1792	2048
140	1805	2035
141	1818	2023
142	1831	2010
143	1844	1997
144	1856	1984
145	1869	1972
146	1882	1958
147	1894	1946
148	1908	1933
149	1921	1921
150	1933	1908
151	1946	1895
152	1960	1883
153	1973	1870
154	1986	1858
155	1999	1845
156	2011	1832
157	2024	1819
158	2037	1807
159	2050	1794
160	2063	1781
161	2076	1768
162	2088	1755
163	2101	1742
164	2113	1729
165	2127	1717
166	2140	1704
167	2153	1692
168	2166	1679
169	2179	1666
170	2192	1653
171	2206	1641
172	2218	1628
173	2231	1615
174	2243	1602
175	2256	1589
176	2268	1576
177	2280	1562
178	2292	1549
179	2304	1536
180	2317	1523
181	2330	1510
182	2342	1497
183	2353	1483
184	2366	1471
185	2378	1457
186	2390	1444
187	2402	1431
188	2415	1418
189	2426	1404
190	2440	1392
191	2453	1379
192	2465	1366
193	2477	1353
194	2490	1340
195	2503	1328
196	2514	1314
197	2526	1301
198	2538	1288
199	2550	1275
200	2563	1262
201	2576	1249
202	2587	1236
203	2599	1223
204	2612	1210
205	2625	1197
206	2637	1185
207	2650	1172
208	2662	1159
209	2674	1146
210	2687	1133
211	2700	1121
212	2713	1108
213	2724	1095
214	2737	1082
215	2750	1069
216	2762	1056
217	2774	1043
218	2786	1030
219	2799	1017
220	2811	1005
221	2824	992
222	2835	979
223	2848	966
224	2861	953
225	2873	940
226	2885	927
227	2898	915
228	2911	902
229	2923	889
230	2935	876
231	2948	864
232	2961	851
233	2972	838
234	2985	825
235	2997	812
236	3009	799
237	3021	787
238	3035	774
239	3047	761
240	3059	748
241	3071	736
242	3084	723
243	3095	710
244	3108	697
245	3121	685
246	3132	672
247	3145	659
248	3157	646
249	3170	634
250	3183	621
251	3194	608
252	3207	595
253	3219	583
254	3232	570
255	3244	557
256	3256	544
257	3268	532
258	3282	519
259	3293	506
260	3306	494
261	3318	481
262	3330	468
263	3343	455
264	3356	443
265	3368	430
266	3380	417
267	3393	405
268	3405	392
269	3417	379
270	3430	367
271	3443	354
272	3455	341
273	3468	329
274	3481	316
275	3494	303
276	3506	291
277	3518	278
278	3531	265
279	3543	253
280	3555	240
281	3568	227
282	3581	215
283	3592	202
284	3605	189
285	3617	177
286	3630	164
287	3642	151
288	3654	139
289	3666	126
290	3679	113
291	3691	101
292	3703	88
293	3715	75
294	3728	63
295	3741	50
296	3753	37
297	3765	25
298	3778	12
299	3791	0
